run,date,,probe,,motion_controller,,motion_receptacle,nreps,gain,,,port,xpos,ypos,zpos,xpol,ypol,zpol,xdir,ydir,zdir,rot_center_x,rot_center_y,rot_center_z,roll,probe_origin_x,probe_origin_y,probe_origin_z,plane,xatten,yatten,zatten,probe_type,,digitizer,adc,brd1,brd2,brd3,chan1,chan2,chan3,cable_length,datafile,notes
,,,,,,,,,,,,,cm,cm,cm,,,,,,,,,,,cm,cm,cm,,dB,dB,dB,,,,,,,,,,,ft,,
Experiment Shot #,Date,Data Index,Probe,Motor Drive,Motion controller,Motion Drive Index,Motion number,Number of reps,Diffamp Gain,LAPD port #,LAPD Port side,Port,xpos (cm),ypos (cm),zpos (cm),xpol,ypol,zpol,X direction,Y direction,Z direction,"Rotation Point X (probe coor., cm)","Rotation Point Y (probe coor., cm)","Rotation Point Z (probe coor., cm)","Probe Rotation (0 is y up, + towards +z)",Probe origin x (cm) ,Probe origin y (cm),Probe origin z (cm),Plane,,,,Probe type flag,Daq code,Digitizer name,ADC name,xbrd,ybrd,zbrd,xch,ych,zch,Cable Length (ft),HDF5 File,Notes about Bdots
2,3/27/2018,2,LAPD1,none,none,NA,NA,1,10,12,E,12E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-390,none,40,40,40,bdot,slow,SIS crate,SIS 3302,2,2,2,1,2,3,25,raptor002_mar27,
2,3/27/2018,2,PL11B,xy,6K Compumotor,0,1,1,10,14,E,14E,10,0,0,1,1,-1,X,Y,Z,55,0,0,0,0,0,-455,none,40,40,40,bdot,fast,SIS crate,SIS 3305,1,1,1,1,2,3,25,raptor002_mar27,Z-channel wires were reversed: polarization var has been set to compensate
2,3/27/2018,2,LAPD4,none,none,NA,NA,1,10,15,E,15E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-487.5,none,40,40,40,bdot,fast,SIS crate,SIS 3305,1,1,1,4,5,6,25,raptor002_mar27,
2,3/27/2018,2,LAPD10,none,none,NA,NA,1,100,16,E,16E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-520,none,60,60,60,bdot,fast,SIS crate,SIS 3305,2,2,2,1,2,3,25,raptor002_mar27,
2,3/27/2018,2,LAPD11,none,none,NA,NA,1,100,17,E,17E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-552.5,none,40,40,40,bdot,fast,SIS crate,SIS 3305,2,2,2,4,5,6,25,raptor002_mar27,
2,3/27/2018,2,LAPD6,none,none,NA,NA,1,100,18,E,18E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-585,none,40,40,40,bdot,slow,SIS crate,SIS 3302,1,1,1,1,2,3,8,raptor002_mar27,
2,3/27/2018,2,LAPD5,none,none,NA,NA,1,10,31,E,31E,20,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-1007.5,none,20,20,20,bdot,slow,SIS crate,SIS 3302,1,1,1,4,5,6,25,raptor002_mar27,
3,3/27/2018,3,LAPD1,none,none,NA,NA,1,10,12,E,12E,0,0,0,1,1,1,X,Y,Z,55,0,0,9,0,0,-390,none,40,40,40,bdot,slow,SIS crate,SIS 3302,2,2,2,1,2,3,25,raptor003_mar27,
3,3/27/2018,3,PL11B,xy,6K Compumotor,0,1,1,10,14,E,14E,0,0,0,1,1,-1,X,Y,Z,55,0,0,0,0,0,-455,none,40,40,40,bdot,fast,SIS crate,SIS 3305,1,1,1,1,2,3,25,raptor003_mar27,Z-channel wires were reversed: polarization var has been set to compensate
3,3/27/2018,3,LAPD4,none,none,NA,NA,1,10,15,E,15E,0,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-487.5,none,40,40,40,bdot,fast,SIS crate,SIS 3305,1,1,1,4,5,6,25,raptor003_mar27,
3,3/27/2018,3,LAPD10,none,none,NA,NA,1,100,16,E,16E,0,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-520,none,60,60,60,bdot,fast,SIS crate,SIS 3305,2,2,2,1,2,3,25,raptor003_mar27,
3,3/27/2018,3,LAPD11,none,none,NA,NA,1,100,17,E,17E,0,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-552.5,none,40,40,40,bdot,fast,SIS crate,SIS 3305,2,2,2,4,5,6,25,raptor003_mar27,
3,3/27/2018,3,LAPD6,none,none,NA,NA,1,100,18,E,18E,0,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-585,none,40,40,40,bdot,slow,SIS crate,SIS 3302,1,1,1,1,2,3,8,raptor003_mar27,
3,3/27/2018,3,LAPD5,none,none,NA,NA,1,10,31,E,31E,0,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-1007.5,none,20,20,20,bdot,slow,SIS crate,SIS 3302,1,1,1,4,5,6,25,raptor003_mar27,
4,3/27/2018,4,LAPD1,none,none,NA,NA,1,10,12,E,12E,5,0,0,1,1,1,X,Y,Z,55,0,0,9,0,0,-390,none,20,30,20,bdot,slow,SIS crate,SIS 3302,2,2,2,1,2,3,25,raptor004_mar27,
4,3/27/2018,4,PL11B,xy,6K Compumotor,0,1,1,10,14,E,14E,5,0,0,1,1,-1,X,Y,Z,55,0,0,0,0,0,-455,none,30,30,30,bdot,fast,SIS crate,SIS 3305,1,1,1,1,2,3,25,raptor004_mar27,Z-channel wires were reversed: polarization var has been set to compensate
4,3/27/2018,4,LAPD4,none,none,NA,NA,1,10,15,E,15E,5,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-487.5,none,30,30,30,bdot,fast,SIS crate,SIS 3305,1,1,1,4,5,6,25,raptor004_mar27,
4,3/27/2018,4,LAPD10,none,none,NA,NA,1,100,16,E,16E,5,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-520,none,40,40,40,bdot,fast,SIS crate,SIS 3305,2,2,2,1,2,3,25,raptor004_mar27,
4,3/27/2018,4,LAPD11,none,none,NA,NA,1,100,17,E,17E,5,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-552.5,none,30,30,30,bdot,fast,SIS crate,SIS 3305,2,2,2,4,5,6,25,raptor004_mar27,
4,3/27/2018,4,LAPD6,none,none,NA,NA,1,100,18,E,18E,5,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-585,none,40,30,40,bdot,slow,SIS crate,SIS 3302,1,1,1,1,2,3,8,raptor004_mar27,
4,3/27/2018,4,LAPD5,none,none,NA,NA,1,10,31,E,31E,5,0,0,1,1,1,X,Y,Z,55,0,0,0,0,0,-1007.5,none,0,0,0,bdot,slow,SIS crate,SIS 3302,1,1,1,4,5,6,25,raptor004_mar27,
5,3/27/2018,5,LAPD1,none,none,NA,NA,1,10,12,E,12E,5,0,0,1,1,1,X,Y,Z,55,0,0,9,0,0,-390,none,20,30,20,bdot,slow,SIS crate,SIS 3302,2,2,2,1,2,3,25,raptor005_mar27,
5,3/27/2018,5,PL11B,xy,6K Compumotor,0,1,1,10,14,E,14E,5,0,0,1,1,-1,X,Y,Z,55,0,0,0,0,0,-455,none,30,30,30,bdot,fast,SIS crate,SIS 3305,1,1,1,1,2,3,25,raptor005_mar27,Z-channel wires were reversed: polarization var has been set to compensate
