run,date,nreps,chamber,pressure,gas,,,,,B0_target,lab6_pulse,lab6_laser_timing,lab6_discharge_voltage,lab6_heater_voltage,lab6_discharge_current,lab6_heater_current,,lapd_notes,laser,laser_shot_num,laser_energy,laser_pulse,laser_h_spot_size,laser_v_spot_size,,laser_notes,target_material,target_height,target_angle,translate_per_rot,rot_per_shot,shots_per_pos,target_xpos,target_ypos,target_zpos,target_notes,datafile
,,,,Gas Fill,,,,Gauss,Gauss,Gauss,LaB6,,,,,,,,,,,,,,,,Target,,,,,,,,,,
Experiment Run #,Date (m/d/y),nreps,Chamber,Pressure (Torr),"Gas (He, H, Vac)",Gas Partial Pressure (Torr),Interferometer 0,@BaO,@LaB6,@Target,Pulse (ms),LaB6-Laser Timing (ms),Discharge Voltage (V),Heater Voltage (V),Discharge Current (kA),Heater Current (A),LaB6 Relative Radial Position (inches),LAPD Notes,Laser used,Laser shot #,On Target Energy (J),Pulse (ns) (FWHM),Horizontal Spot Size (mm),Vertical Spot Size (mm),Lens position (cm),Laser Notes,Target Material,"""Absolute"" Target height (mm)","""Absolute"" Target angle (deg)",Linear translation per rotation (mm),Rotation between shots (deg),Shots per position (#),"Target xpos (LAPD cor, cm)","Target ypos (LAPD cor, cm)","Target zpos (LAPD cor, cm)",Target notes,HDF file
1,3/27/2018,1,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,,Raptor,-111.00,100.00,35.00,-111.00,-111.00,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor001_mar27
2,3/27/2018,1,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,,Raptor,-111.00,130.00,35.00,-111.00,-111.00,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor002_mar27
3,3/27/2018,1,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,,Raptor,-111.00,,35.00,-111.00,-111.00,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor003_mar27
4,3/27/2018,1,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,,Raptor,-111.00,,35.00,-111.00,-111.00,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor004_mar27
5,3/27/2018,1,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,,Raptor,-111.00,180.00,35.00,3.50,3.50,-111.00,Suprisingly little backscatter,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor005_mar27
6,3/28/2018,1,LAPD,2.60E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,"Moved the LaB6 cathode to try and center, changed the B field NO PLASMA BECAUSE TRIGGER ISSUE",Raptor,-111.00,100.00,35.00,3.50,3.50,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor006_mar28
7,3/28/2018,1,LAPD,2.60E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,"Moved the LaB6 cathode to try and center, changed the B field",Raptor,"11,836.00",160.00,35.00,3.50,3.50,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor007_mar28
8,3/28/2018,1,LAPD,2.60E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,Out of the plasma,Raptor,11837,155.00,35.00,3.00,3.00,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor008_mar28
9,3/28/2018,1,LAPD,2.60E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Raptor,11838,155.00,35.00,2.60,2.60,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor009_mar28
10,3/28/2018,1,LAPD,2.60E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Raptor,11839,176.00,35.00,2.60,2.60,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor010_mar28
11,3/28/2018,1,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Raptor,11840,185.00,35.00,2.60,2.60,-111.00,,Round Graphite,,,,,1.00,0.00,0.00,422.50,,raptor011_mar28
12,3/28/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,4.00,-111.00,,,-111.00,Energy may fluctuate a bit: low-energy test to debug issues,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening012_mar28
13,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,15.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening013_mar29
14,3/29/2018,100,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,15.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening014_mar29
15,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,15.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening015_mar29
16,3/29/2018,100,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,15.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening016_mar29
17,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,15.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening017_mar29
18,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening018_mar29
19,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening019_mar29
20,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening020_mar29
21,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening021_mar29
22,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening022_mar29
23,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening023_mar29
24,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening024_mar29
25,3/29/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round Graphite,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening025_mar29
26,3/30/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening026_mar30
27,3/30/2018,10,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,There may be some datapoints where there was no laser...around shot 293,Round HDPE,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening027_mar30
28,3/31/2018,10,LAPD,4.50E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,160.00,80.00,2.40,450.00,9.50,Walter increased the BaO and LaB6 duration and increased the LaB6 current: Isat probe seems to show 2-3x more density?,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening028_mar31
29,3/31/2018,10,LAPD,4.50E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,160.00,80.00,2.40,450.00,9.00,LaB6 off center,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening029_mar31
30,3/31/2018,10,LAPD,4.50E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,160.00,80.00,2.40,450.00,9.50,LaB6 back on center,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,1.00,3.00,1.00,0.00,0.00,422.50,,peening030_mar31
31,3/31/2018,10,LAPD,6.10E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,160.00,80.00,2.40,450.00,9.50,LaB6 pulse is technically 12ms but the really ramp up is only 4ms long...,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,1.00,3.00,3.00,0.00,0.00,422.50,"Running out of target, so doing 3 shots per positon",peening031_mar31
32,3/27/2018,3,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,RUN TAKEN EARLIER IN EXPERIMENT,None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,01-isatsweep_xline-p34-800G
33,3/28/2018,3,LAPD,2.90E+05,He,,,,,800.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.00,RUN TAKEN EARLIER IN EXPERIMENT,None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,02-isatsweep_plane-p34-800G
34,3/29/2018,3,LAPD,4.30E+05,He,,,400.00,300.00,300.00,-111.00,-111.00,120.00,75.00,1.78,450.00,9.50,,None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,03-isatsweep_xline-p34-300G
35,4/2/2018,1,LAPD,6.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.50,450.00,9.50,,Raptor,11888,220.00,35.00,2.60,2.60,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor035_apr02
36,4/2/2018,1,LAPD,6.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.50,450.00,9.50,,Raptor,11902,215.00,35.00,2.30,2.30,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor036_apr02
37,4/2/2018,3,LAPD,6.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.50,450.00,9.50,,None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,109.25,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,04-isatsweep_xline-p34-300G
38,4/2/2018,1,LAPD,6.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.50,450.00,9.50,,Raptor,11903,200.00,35.00,2.30,2.30,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor038_apr02
39,4/2/2018,1,LAPD,6.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.50,450.00,9.50,,Raptor,11904,194.00,35.00,2.30,2.30,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor039_apr02
40,4/2/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.08,450.00,9.50,Turned down LAPD fill pressure and LaB6 current to produce lower density (to turn off RHI). This is about the as low as the fill pressure can safely go?,Raptor,11905,200.00,35.00,2.30,2.30,-111.00,,Flat HDPE,584.50,,,,,0.00,0.00,422.50,,raptor040_apr02
41,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,LaB6  is off,Raptor,11908,178.00,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor041_apr03
42,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,LaB6  is off,Raptor,11909,173.00,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor042_apr03
43,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6  is off, target is down!",None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,Target was down during this run,05_3-27-isatsweep_xline_p34-300G
44,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,200.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,LaB6  is off,Raptor,11910,173.40,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor044_apr03
45,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,200.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,LaB6  is off,Raptor,11911,175.40,35.00,2.20,2.20,-111.00,Laser was realigned before this short,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor045_apr03
46,4/3/2018,1,LAPD,2.90E-05,He,,1.30E+12,400.00,300.00,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6  is off, BaO current dropped to get density to 1.3e12",Raptor,11912,174.60,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor046_apr03
47,4/3/2018,1,LAPD,2.90E-05,He,,1.29E+12,400.00,300.00,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6  is off, BaO current dropped to get density to 1.3e12",Raptor,11913,174.60,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor047_apr03
48,4/3/2018,1,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.09,450.00,9.50,,Raptor,11914,180.00,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor048_apr03
49,4/3/2018,3,LAPD,2.00E-05,He,,,400.00,300.00,300.00,-111.00,-111.00,170.00,80.00,2.09,450.00,9.50,,None,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,,None,,,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,Target was raised during this scan,06-isatsweep_plane-p34-300G
50,4/4/2018,1,LAPD,1.90E-05,He,,,600.00,,600.00,-111.00,-111.00,170.00,80.00,2.09,450.00,9.50,Raised field 600 G,Raptor,11917,190.00,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,,raptor050_apr04
51,4/4/2018,1,LAPD,1.90E-05,He,,,600.00,,600.00,-111.00,-111.00,170.00,80.00,2.09,450.00,9.50,Raised field 600 G,Raptor,11918,180.00,35.00,2.20,2.20,-111.00,,Flat HDPE,634.50,109.25,,,,0.00,0.00,422.50,,raptor051_apr04
52,4/4/2018,1,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.13,450.00,9.50,Oblique target 25 deg,Raptor,11919,177.00,35.00,2.20,2.20,-111.00,,Flat HDPE,,134.25,,,,0.00,0.00,422.50,Target angled 25 degrees (debris towards laser),raptor052_apr04
53,4/4/2018,1,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.13,450.00,9.50,Oblique target 25 deg,Raptor,11920,175.90,35.00,2.20,2.20,-111.00,,Flat HDPE,,134.25,,,,0.00,0.00,422.50,Target angled 25 degrees (debris towards laser),raptor053_apr04
54,4/4/2018,1,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.13,450.00,9.50,Target back to parallel,Raptor,11921,178.96,35.00,2.20,2.20,-111.00,,Flat HDPE,,109.25,,,,0.00,0.00,422.50,Target back to parallel,raptor054_apr04
55,4/5/2018,10,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.13,450.00,9.50,,Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,Changed targets: this is now a round plastic target,peening055_apr05
56,4/5/2018,10,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.13,450.00,9.50,LaB6 had some weird current traces (I saved a picture),Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening056_apr05
57,4/5/2018,10,LAPD,2.00E-05,He,,,400.00,,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6 off, only BaO",Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening057_apr05
58,4/5/2018,10,LAPD,3.00E-05,He,,,400.00,,300.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6 off, only BaO, BaO discharge current lowered to reduce density, had to raise gas fill to breakdown",Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening058_apr05
59,4/5/2018,10,LAPD,3.00E-05,He,,,400.00,,200.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,-111.00,"LaB6 off, only BaO, BaO discharge current lowered to reduce density, had to raise gas fill to breakdown",Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening059_apr05
60,4/5/2018,10,LAPD,2.00E-05,He,,,600.00,,600.00,-111.00,-111.00,180.00,80.00,2.27,450.00,9.50,"LaB6 on, 600 G",Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening060_apr05
61,4/5/2018,5,LAPD,2.10E-05,He,,,400.00,,300.00,-111.00,-111.00,180.00,80.00,2.14,450.00,9.50,"Lab6 on, overnight plane",Peening,,14.00,-111.00,,,-111.00,,Round HDPE,,,,,,0.00,0.00,422.50,,peening061_apr05
